date,account_value
2022-09-16,1183580.7018067222
2022-09-19,1194498.0619522908
2022-09-20,1170945.0812470298
2022-09-21,1137182.4620758875
2022-09-22,1124243.5436722618
2022-09-23,1103318.877175985
2022-09-26,1079563.7246186119
2022-09-27,1049667.3911124093
2022-09-28,1081878.4377765786
2022-09-29,1069883.463640226
2022-09-30,1058146.3687610757
2022-10-03,1104256.3121509682
2022-10-04,1158427.6359272134
2022-10-05,1150366.3566303384
2022-10-06,1153139.44317819
2022-10-07,1145013.5677051675
2022-10-10,1152236.4108753335
2022-10-11,1159201.4758777749
2022-10-12,1157588.9976215493
2022-10-13,1181063.2884693276
2022-10-14,1173779.4240529612
2022-10-17,1188980.6666982248
2022-10-18,1217125.4005298824
2022-10-19,1193262.201478979
2022-10-20,1189370.3237171385
2022-10-21,1251844.835123083
2022-10-24,1253381.0348987791
2022-10-25,1256658.3844700071
2022-10-26,1271099.273912451
2022-10-27,1276117.692811987
2022-10-28,1291275.4647541258
2022-10-31,1289227.0910968988
2022-11-01,1312475.6814899654
2022-11-02,1300390.5505008907
2022-11-03,1326344.28762525
2022-11-04,1378306.713253912
2022-11-07,1382904.0610322321
2022-11-08,1390163.1006135312
2022-11-09,1364333.066769537
2022-11-10,1406132.9688538876
2022-11-11,1430571.4968232482
2022-11-14,1430632.0626038876
2022-11-15,1419078.1273774474
2022-11-16,1405951.4598969787
2022-11-17,1393974.1293610898
2022-11-18,1399962.7946290341
2022-11-21,1404439.10503858
2022-11-22,1435229.2219971982
2022-11-23,1440525.8857569487
2022-11-25,1443181.586684683
2022-11-28,1442001.3264612944
2022-11-29,1430984.538375357
2022-11-30,1467182.3145289214
2022-12-01,1468067.394271353
2022-12-02,1481444.8567042144
2022-12-05,1466493.4574732573
2022-12-06,1468362.57475231
2022-12-07,1477805.4260401519
2022-12-08,1488428.5375513823
2022-12-09,1484493.9264063628
2022-12-12,1499740.3522181304
2022-12-13,1497478.1739649565
2022-12-14,1503379.4750819
2022-12-15,1486362.889785269
2022-12-16,1479772.7316126616
2022-12-19,1479379.0550379546
2022-12-20,1479969.5699000151
2022-12-21,1493543.4089197905
2022-12-22,1496986.155196646
2022-12-23,1501215.6390223296
2022-12-27,1514298.0748743804
2022-12-28,1494723.8230433257
2022-12-29,1500920.612441519
2022-12-30,1490789.2118983062
2023-01-03,1490887.7079920562
2023-01-04,1497379.6778712065
2023-01-05,1478789.0018763335
2023-01-06,1514002.8943934233
2023-01-09,1495510.7144923003
2023-01-10,1494035.2737879546
2023-01-11,1481936.567672232
2023-01-12,1473575.6344141753
2023-01-13,1484100.5576319487
2023-01-17,1479772.7316126616
2023-01-18,1440132.3630823882
2023-01-19,1409676.1396937163
2023-01-20,1415120.049575308
2023-01-23,1396115.997786978
2023-01-24,1403737.4408411772
2023-01-25,1402747.5550989897
2023-01-26,1397105.5757288726
2023-01-27,1391364.7924647124
2023-01-30,1372627.8206428436
2023-01-31,1324284.9662269503
2023-02-01,1309850.2034706024
2023-02-02,1285495.05947341
2023-02-03,1300507.0435432342
2023-02-06,1319718.3614753631
2023-02-07,1310480.13608779
2023-02-08,1306333.3508399872
2023-02-09,1292738.6338142306
2023-02-10,1300034.675424948
2023-02-13,1302554.243204489
2023-02-14,1282660.60672988
2023-02-15,1305441.0818733121
2023-02-16,1293998.4177040008
2023-02-17,1300664.6080421356
2023-02-21,1263501.9187568573
2023-02-22,1248699.7224220184
2023-02-23,1249014.6887306122
2023-02-24,1239671.6101478487
2023-02-27,1259670.0998176485
2023-02-28,1267676.7076121129
2023-03-01,1260602.0689402379
2023-03-02,1275840.3637829504
2023-03-03,1291674.8995495518
2023-03-06,1284946.5624829016
2023-03-07,1245284.410596915
2023-03-08,1233682.8637944555
2023-03-09,1219810.8524571753
2023-03-10,1222794.9254094458
2023-03-13,1234489.2991124487
2023-03-14,1280475.1623338216
2023-03-15,1298759.050034856
2023-03-16,1379673.7560847753
2023-03-17,1362759.2324489108
2023-03-20,1380359.8836062618
2023-03-21,1373043.4405024715
2023-03-22,1334168.4863438488
2023-03-23,1327073.4100956796
2023-03-24,1339579.1721003396
2023-03-27,1349410.9803774694
2023-03-28,1385460.9171431402
2023-03-29,1398979.673712049
2023-03-30,1418643.128763471
2023-03-31,1416594.949770246
2023-04-03,1452644.6442816595
2023-04-04,1468621.151041303
2023-04-05,1479681.9959166388
2023-04-06,1465753.5066473822
2023-04-10,1478862.692018781
2023-04-11,1487465.6252005438
2023-04-12,1462066.7198584417
2023-04-13,1465753.5066473822
2023-04-14,1446909.3554938177
2023-04-17,1472308.0993330816
2023-04-18,1428035.9418398794
2023-04-19,1441517.2522189077
2023-04-20,1450829.8865725454
2023-04-21,1442936.29415006
2023-04-24,1451716.581762975
2023-04-25,1465020.4432284292
2023-04-26,1442315.3602969106
2023-04-27,1445685.6535555776
2023-04-28,1451894.1680209097
2023-05-01,1451007.3354861196
2023-05-02,1463690.2630984243
2023-05-03,1429852.5800414789
2023-05-04,1410295.2522369134
2023-05-05,1437843.8442321527
2023-05-08,1441313.6795898187
2023-05-09,1434373.8461395013
2023-05-10,1425325.438847475
2023-05-11,1372536.2115201282
2023-05-12,1368006.9728584024
2023-05-15,1357541.4361304971
2023-05-16,1355754.5118446085
2023-05-17,1382825.58456197
2023-05-18,1397108.4623189662
2023-05-19,1397498.855324337
2023-05-22,1383182.979749142
2023-05-23,1368753.0650762904
2023-05-24,1346688.494941052
2023-05-25,1348486.6340096556
2023-05-26,1360174.4389718133
2023-05-30,1347972.8092873655
2023-05-31,1321322.222525891
2023-06-01,1305680.1858622995
2023-06-02,1326243.1238020998
2023-06-05,1320993.2614974123
2023-06-06,1343301.8656976994
2023-06-07,1395864.4187372504
2023-06-08,1389346.0030573185
2023-06-09,1392783.0024774848
2023-06-12,1409790.25366767
2023-06-13,1454471.520147162
2023-06-14,1441908.6474359806
2023-06-15,1467686.09741767
2023-06-16,1453464.0497492133
2023-06-20,1429049.3793085392
2023-06-21,1431004.9496820744
2023-06-22,1406471.7210748966
2023-06-23,1389286.7239740666
2023-06-26,1404160.7502191835
2023-06-27,1426323.546209174
2023-06-28,1423189.2991450261
2023-06-29,1417401.5698969793
